TXNAME	GENEID	R2_HCC827.bam	R3_HCC827.bam	R1_HCC827.bam	R3_H1975.bam	R1_H1975.bam	R2_H1975.bam
BambuTx118	ENSG00000307458	0	0	0	8	33	19
BambuTx119	ENSG00000236846	0	1	2	7	10	25
BambuTx120	ENSG00000234112	3	7	1	3	9	2
BambuTx121	ENSG00000242861	1	1	0	6	6	3
BambuTx122	ENSG00000243709	0	0	0	4	2	0
BambuTx123	BambuGene2730	0	0	0	2	9	0
BambuTx124	ENSG00000305780	0	5	12	5	9	5
BambuTx125	BambuGene2740	1	1	3	4	8	5
BambuTx126	ENSG00000233920	1	0	0	16	16	21
BambuTx127	ENSG00000236358	2	3	0	6	2	5
BambuTx128	ENSG00000143669	0	1	4	84	146	109
BambuTx129	ENSG00000143669	2	3	4	115	185	142
BambuTx130	ENSG00000302457	11	15	13	46	54	43
BambuTx131	ENSG00000182901	7	11	13	24	12	17
BambuTx132	ENSG00000054282	49	74	86	248	286	290
BambuTx133	ENSG00000054282	12	27	32	118	102	103
BambuTx134	ENSG00000300752	0	1	1	2	6	0
BambuTx135	BambuGene1386	0	0	6	15	11	20
BambuTx136	ENSG00000298524	0	1	6	14	5	9
BambuTx137	ENSG00000303579	0	43	1	19	14	6
BambuTx138	BambuGene3380	4	1	4	3	5	8
BambuTx139	BambuGene2854	5	6	6	9	5	8
BambuTx140	ENSG00000151474	5	0	1	4	25	14
BambuTx141	ENSG00000272853	1	0	3	19	21	25
BambuTx142	ENSG00000235623	0	1	0	9	8	16
BambuTx143	ENSG00000274985	0	0	0	69	40	127
BambuTx144	ENSG00000274985	0	0	0	136	177	190
BambuTx145	BambuGene3459	7	2	7	7	11	8
BambuTx146	BambuGene2983	32	18	40	6	10	12
BambuTx147	ENSG00000095794	3	6	9	20	27	31
BambuTx148	ENSG00000271335	3	4	2	13	17	10
BambuTx149	BambuGene2988	2	5	4	27	21	22
BambuTx150	BambuGene3494	0	0	0	4	4	0
BambuTx151	ENSG00000196693	5	26	11	84	72	87
BambuTx152	ENSG00000198915	0	0	0	51	57	59
BambuTx153	ENSG00000198915	0	0	0	26	29	36
BambuTx154	ENSG00000198298	6	8	9	3	5	0
BambuTx155	ENSG00000285402	1	0	1	6	11	7
BambuTx156	BambuGene3017	0	0	1	3	10	8
BambuTx157	ENSG00000254271	0	5	2	11	10	8
BambuTx158	ENSG00000072422	6	4	6	73	65	66
BambuTx159	ENSG00000214881	56	43	96	61	93	78
BambuTx160	ENSG00000042286	7	13	13	86	98	83
BambuTx161	ENSG00000156521	7	8	11	50	35	47
BambuTx162	ENSG00000166295	120	180	195	590	642	562
BambuTx163	BambuGene3620	3	3	2	1444	1119	1542
BambuTx164	BambuGene3620	1	11	1	1001	989	714
BambuTx165	ENSG00000148719	247	408	374	194	222	218
BambuTx166	ENSG00000293542	6	16	14	1	1	1
BambuTx167	ENSG00000230417	0	0	0	2	8	4
BambuTx168	BambuGene3685	54	70	112	61	63	66
BambuTx169	ENSG00000235100	2	11	4	10	7	8
BambuTx170	BambuGene3167	0	0	1	13	17	6
BambuTx171	ENSG00000148688	24	58	59	107	103	132
BambuTx172	ENSG00000176273	0	7	1	27	22	10
BambuTx173	ENSG00000119943	28	24	39	22	44	26
BambuTx174	ENSG00000298413	14	19	36	120	109	85
BambuTx175	ENSG00000107882	18	14	12	21	31	30
BambuTx176	ENSG00000065618	148	198	194	638	501	559
BambuTx177	ENSG00000197748	8	8	2	12	3	10
BambuTx178	ENSG00000228484	0	0	0	10	13	10
BambuTx179	ENSG00000295480	7	1	3	4	6	4
BambuTx180	ENSG00000220842	55984	49004	63914	24156	27791	23735
BambuTx181	BambuGene3857	2	4	5	6	5	0
BambuTx182	ENSG00000107672	12	33	36	92	76	91
BambuTx183	ENSG00000107679	13	28	30	25	41	40
BambuTx184	ENSG00000179988	41	79	119	242	296	248
BambuTx185	BambuGene3865	1	8	9	4	10	4
BambuTx186	ENSG00000305416	10	22	18	4	2	9
BambuTx187	ENSG00000180745	8	3	1	4	2	8
BambuTx188	ENSG00000227076	11	5	8	29	29	26
BambuTx189	ENSG00000237489	5	12	21	21	22	17
BambuTx190	ENSG00000298639	1	1	3	6	19	18
BambuTx191	ENSG00000165752	88	79	107	110	153	128
BambuTx192	ENSG00000308672	0	0	0	4	2	5
BambuTx193	BambuGene3899	6	1	8	5	2	1
BambuTx194	ENSG00000177042	96	154	160	145	135	112
BambuTx195	BambuGene4609	284	68	104	48	34	44
BambuTx196	BambuGene3917	0	0	0	5	1	1
BambuTx197	BambuGene3931	9	2	5	57	34	45
BambuTx198	ENSG00000295409	5	0	1	7	2	0
BambuTx199	ENSG00000305647	42	43	58	72	84	49
BambuTx200	BambuGene4629	0	0	0	12	6	8
BambuTx201	ENSG00000166407	0	0	0	44	69	49
BambuTx202	ENSG00000110328	20	12	9	12	7	10
BambuTx203	ENSG00000133818	0	2	0	60	61	72
BambuTx204	BambuGene4707	8	1	4	13	14	8
BambuTx205	ENSG00000247595	110	126	172	358	451	324
BambuTx206	ENSG00000307501	0	1	2	4	0	4
BambuTx207	BambuGene4762	1	0	0	44	42	27
BambuTx208	BambuGene4031	8	7	8	14	14	17
BambuTx209	ENSG00000179431	46	21	47	38	57	46
BambuTx210	BambuGene4039	0	0	0	3	13	9
BambuTx211	BambuGene4049	1	0	1	138	152	128
BambuTx212	BambuGene4049	0	0	0	33	47	30
BambuTx213	ENSG00000254519	0	0	0	9	1	1
BambuTx214	ENSG00000181903	20	36	26	31	19	25
BambuTx215	ENSG00000256591	23	52	64	87	92	69
BambuTx216	ENSG00000124915	15	23	35	1	2	0
BambuTx217	ENSG00000149016	31	54	54	73	80	83
BambuTx218	ENSG00000149489	2	11	8	46	42	38
BambuTx219	BambuGene4935	167	200	253	145	213	135
BambuTx220	BambuGene4937	1	10	17	7	1	0
BambuTx221	ENSG00000298107	14	9	9	5	6	19
BambuTx222	ENSG00000149761	250	388	291	63	55	71
BambuTx223	ENSG00000173486	1761	1592	2012	965	1016	944
BambuTx224	ENSG00000173457	264	209	342	106	99	98
BambuTx225	ENSG00000257069	10	7	11	1	2	2
BambuTx226	ENSG00000219435	84	125	132	38	31	31
BambuTx227	ENSG00000168061	28	28	26	48	45	26
BambuTx228	ENSG00000175294	58	77	77	34	51	71
BambuTx229	ENSG00000254452	24	68	82	35	57	35
BambuTx230	ENSG00000256514	42	47	30	162	176	166
BambuTx231	BambuGene4282	0	0	0	5	0	8
BambuTx232	BambuGene5069	68	14	19	11	22	3
BambuTx233	ENSG00000132746	11	17	7	25	22	27
BambuTx234	ENSG00000290995	7	11	30	36	22	55
BambuTx235	BambuGene5071	1	1	0	7	5	8
BambuTx236	BambuGene5071	0	0	1	7	0	1
BambuTx237	BambuGene5076	16	8	8	2	3	3
BambuTx238	ENSG00000171067	44	55	62	212	310	318
BambuTx239	BambuGene5103	0	1	1	12	8	4
BambuTx240	ENSG00000260877	13	17	17	166	139	152
BambuTx241	BambuGene5110	1	4	8	42	40	37
BambuTx242	BambuGene5117	0	0	0	28	29	28
BambuTx243	ENSG00000172890	32	33	45	149	199	157
BambuTx244	ENSG00000150672	2	1	2	9	12	7
BambuTx245	ENSG00000174804	4	3	6	31	31	18
BambuTx246	ENSG00000166575	16	54	49	47	63	39
BambuTx247	BambuGene5229	45	50	84	205	217	195
BambuTx248	ENSG00000020922	1	0	0	36	62	42
BambuTx249	ENSG00000077458	0	2	8	17	20	19
BambuTx250	BambuGene5244	12	15	11	24	28	13
BambuTx251	ENSG00000170903	6	10	3	17	21	16
BambuTx252	BambuGene4469	0	0	0	152	165	157
BambuTx253	ENSG00000287245	2	7	6	5	1	8
BambuTx254	ENSG00000110375	6	22	34	22	22	39
BambuTx255	ENSG00000181264	119	143	205	132	168	135
BambuTx256	BambuGene5357	0	0	0	6	5	4
BambuTx257	BambuGene5357	0	0	0	6	8	12
BambuTx258	ENSG00000255045	0	1	0	22	16	6
BambuTx259	ENSG00000134955	10	28	21	17	9	15
BambuTx260	ENSG00000134955	2	2	1	67	64	40
BambuTx261	ENSG00000297941	2	3	2	25	24	17
BambuTx262	ENSG00000110060	42	58	80	131	118	134
BambuTx263	ENSG00000254759	5	1	1	12	6	15
BambuTx265	ENSG00000254842	0	1	0	26	47	41
BambuTx266	ENSG00000111224	0	0	0	21	23	26
BambuTx267	ENSG00000247853	7	9	5	13	16	16
BambuTx268	ENSG00000126746	15	47	29	12	5	8
BambuTx269	ENSG00000126746	20	52	31	21	20	23
BambuTx270	ENSG00000289303	1	4	8	6	3	1
BambuTx271	ENSG00000139178	52	70	91	28	19	16
BambuTx272	ENSG00000212127	0	4	3	9	11	22
BambuTx273	ENSG00000275778	10	16	16	36	32	46
BambuTx274	ENSG00000255837	28	67	101	148	137	147
BambuTx275	ENSG00000231887	7	4	1	38	30	18
BambuTx276	ENSG00000183150	6	4	5	8	11	12
BambuTx277	ENSG00000197837	0	1	0	5	2	2
BambuTx278	ENSG00000197837	14	5	14	13	20	6
BambuTx279	ENSG00000084463	156	278	249	200	207	223
BambuTx280	BambuGene5496	0	1	2	4	10	12
BambuTx281	BambuGene6204	14	24	40	15	10	12
BambuTx282	ENSG00000121350	7	34	36	59	46	45
BambuTx283	ENSG00000004700	2	2	6	24	36	25
BambuTx284	ENSG00000255921	0	1	0	3	1	6
BambuTx285	ENSG00000248100	0	0	0	4	0	1
BambuTx286	BambuGene5518	7	6	8	36	28	46
BambuTx287	ENSG00000139146	0	0	0	82	0	66
BambuTx289	ENSG00000256843	76	101	88	738	791	717
BambuTx290	ENSG00000306285	4	1	2	26	20	20
BambuTx291	BambuGene6266	0	1	0	12	26	18
BambuTx292	ENSG00000256538	1	3	0	2	8	3
BambuTx293	ENSG00000303166	14	3	10	35	49	30
BambuTx294	ENSG00000304126	0	1	1	5	3	8
BambuTx295	ENSG00000257114	1	2	4	2	18	8
BambuTx296	BambuGene6282	0	0	0	67	83	41
BambuTx297	ENSG00000179715	18	26	42	87	85	83
BambuTx298	BambuGene5579	0	3	1	49	22	30
BambuTx299	ENSG00000309040	19	18	13	19	16	19
BambuTx300	ENSG00000310242	3	3	5	6	13	6
BambuTx301	ENSG00000310270	4	9	12	57	46	49
BambuTx302	BambuGene5583	10	8	5	54	40	51
BambuTx303	ENSG00000005175	39	51	100	126	93	151
BambuTx304	ENSG00000257913	5	7	17	13	17	15
BambuTx305	BambuGene6305	1	5	11	6	4	4
BambuTx306	BambuGene6330	3	2	6	5	3	8
BambuTx307	BambuGene6337	9	33	70	53	42	54
BambuTx308	BambuGene6339	0	0	0	34	24	10
BambuTx309	ENSG00000296574	19	0	22	9	27	13
BambuTx310	ENSG00000180818	39	50	73	9	15	20
BambuTx311	ENSG00000197757	1	1	6	10	5	10
BambuTx312	ENSG00000037965	7	2	5	29	22	32
BambuTx313	BambuGene6383	0	0	0	13	8	11
BambuTx314	ENSG00000025423	0	0	0	150	139	120
BambuTx315	ENSG00000303268	0	0	0	62	64	52
BambuTx316	ENSG00000303268	0	0	0	4	12	12
BambuTx317	ENSG00000185633	15	42	34	4	5	9
BambuTx318	ENSG00000257921	3	0	7	17	28	17
BambuTx319	BambuGene6428	0	0	0	4	3	3
BambuTx320	ENSG00000198673	3	20	25	27	30	29
BambuTx321	ENSG00000118600	30	66	58	123	140	148
BambuTx322	ENSG00000296964	15	2	7	3	3	5
BambuTx323	BambuGene6452	0	14	15	18	19	21
BambuTx324	ENSG00000256083	4	2	4	6	5	2
BambuTx325	BambuGene6462	0	2	0	6	4	1
BambuTx326	ENSG00000127325	0	1	0	5	5	7
BambuTx327	BambuGene6489	0	0	0	94	88	74
BambuTx328	ENSG00000307941	0	0	0	10	10	2
BambuTx329	ENSG00000139291	9	12	19	91	105	92
BambuTx330	ENSG00000273987	0	5	7	7	6	5
BambuTx331	ENSG00000180881	2	6	2	4	5	7
BambuTx332	ENSG00000180881	2	0	1	23	28	26
BambuTx333	ENSG00000257839	0	1	6	5	6	3
BambuTx334	BambuGene5809	6	11	24	28	4	19
BambuTx335	BambuGene5813	0	0	0	36	44	22
BambuTx336	BambuGene5813	0	0	0	7	13	14
BambuTx337	ENSG00000296741	0	1	5	10	6	12
BambuTx338	ENSG00000281333	5	1	15	0	1	0
BambuTx339	ENSG00000281333	24	34	41	57	66	60
BambuTx340	ENSG00000305639	0	0	0	18	17	22
BambuTx341	ENSG00000258303	0	1	10	9	6	12
BambuTx342	ENSG00000180263	4	14	29	18	26	50
BambuTx343	BambuGene5852	21	20	30	3	7	3
BambuTx344	BambuGene6555	0	4	0	5	2	2
BambuTx345	BambuGene5881	0	0	0	16	13	3
BambuTx346	ENSG00000301737	1	1	0	15	5	5
BambuTx347	BambuGene5896	0	1	0	5	12	3
BambuTx348	ENSG00000135093	3	13	6	7	11	15
BambuTx349	ENSG00000189046	56	115	88	116	116	134
BambuTx350	ENSG00000258240	1	0	3	59	36	44
BambuTx351	ENSG00000135116	0	0	0	35	47	42
BambuTx352	ENSG00000256811	18	26	26	39	32	30
BambuTx353	ENSG00000256811	7	6	7	26	10	16
BambuTx354	ENSG00000158023	1015	1329	1630	1281	1329	1254
BambuTx355	ENSG00000158023	1073	1227	1399	975	1137	1018
BambuTx356	ENSG00000284934	5	0	3	2	4	12
BambuTx357	ENSG00000280138	9	3	12	8	20	13
BambuTx358	BambuGene6800	0	0	0	4	0	4
BambuTx359	ENSG00000303311	1	3	11	11	22	11
BambuTx360	BambuGene6048	725	347	406	300	276	210
BambuTx361	BambuGene6048	1623	774	899	652	679	605
BambuTx362	BambuGene6818	0	0	0	3	10	3
BambuTx363	ENSG00000256151	15	28	36	146	214	188
BambuTx364	ENSG00000256151	4	4	7	68	34	48
BambuTx365	ENSG00000273568	34	9	17	3	2	2
BambuTx366	ENSG00000250790	1	3	5	23	12	9
BambuTx367	ENSG00000198393	0	1	1	3	0	6
BambuTx368	ENSG00000196387	2	3	1	27	26	25
BambuTx369	ENSG00000090612	10	20	21	19	24	23
BambuTx370	ENSG00000289688	1	4	3	28	21	33
BambuTx371	ENSG00000294408	6	5	4	11	1	3
BambuTx372	ENSG00000304203	6	4	5	7	7	11
BambuTx373	ENSG00000223685	0	1	2	26	18	10
BambuTx374	ENSG00000102743	7	7	8	12	8	20
BambuTx375	ENSG00000151773	19	20	31	48	43	46
BambuTx376	ENSG00000102547	7	9	21	32	31	23
BambuTx377	BambuGene6930	0	0	0	17	21	14
BambuTx378	ENSG00000261105	1	2	0	8	4	3
BambuTx379	BambuGene7175	0	0	0	18	21	12
BambuTx380	ENSG00000152749	0	5	1	6	10	10
BambuTx381	ENSG00000223392	46	45	64	71	61	52
BambuTx382	ENSG00000125246	0	0	1	22	32	23
BambuTx383	ENSG00000134864	2	6	3	0	3	5
BambuTx384	ENSG00000102452	6	9	2	21	22	22
BambuTx385	ENSG00000174405	1	6	10	12	4	5
BambuTx386	ENSG00000303952	9	1	7	62	89	98
BambuTx387	ENSG00000289010	1	4	1	3	0	1
BambuTx388	ENSG00000290808	1	0	0	26	15	22
BambuTx389	ENSG00000153495	0	0	0	28	28	23
BambuTx390	ENSG00000153495	0	0	0	9	13	21
BambuTx391	BambuGene7035	10	11	14	26	12	18
BambuTx392	BambuGene7223	1	0	0	12	11	8
BambuTx393	BambuGene7223	0	1	0	15	14	7
BambuTx394	BambuGene7238	0	0	0	7	18	15
BambuTx395	ENSG00000260830	1	5	3	4	4	5
BambuTx396	BambuGene7275	348	72	125	44	52	39
BambuTx397	ENSG00000254505	4	10	8	22	16	13
BambuTx398	ENSG00000278784	16	21	28	15	14	10
BambuTx399	ENSG00000157379	3	0	0	76	91	98
BambuTx400	ENSG00000203546	30	56	55	100	104	91
BambuTx401	ENSG00000257585	20	30	30	5	6	2
BambuTx402	ENSG00000283098	5	7	16	26	35	35
BambuTx403	ENSG00000229415	77	188	202	94	120	101
BambuTx404	ENSG00000257520	28	40	24	24	15	29
BambuTx405	BambuGene7360	44	44	50	65	74	65
BambuTx406	BambuGene7804	49	46	82	70	61	38
BambuTx407	ENSG00000298237	11	2	1	3	6	4
BambuTx408	BambuGene7372	2	2	2	7	1	1
BambuTx409	ENSG00000260046	12	13	8	16	21	25
BambuTx410	BambuGene7386	334	344	415	474	548	453
BambuTx411	ENSG00000125375	42	29	47	75	56	65
BambuTx412	ENSG00000258857	9	15	19	20	21	18
BambuTx413	ENSG00000258857	0	6	5	5	3	3
BambuTx414	BambuGene7404	0	9	7	4	2	0
BambuTx415	ENSG00000100532	7	14	16	59	64	71
BambuTx416	BambuGene7884	3	1	3	146	174	151
BambuTx417	ENSG00000126790	15	26	17	213	215	224
BambuTx418	ENSG00000126778	10	8	25	19	17	15
BambuTx419	BambuGene7899	7	6	3	22	21	11
BambuTx420	ENSG00000089775	24	21	40	77	107	110
BambuTx421	ENSG00000165807	1	3	2	11	4	8
BambuTx422	BambuGene7925	0	6	1	3	3	1
BambuTx423	BambuGene7455	0	0	0	10	8	9
BambuTx424	ENSG00000302621	1	2	8	14	22	23
BambuTx425	BambuGene7469	3	4	4	26	19	15
BambuTx426	BambuGene7469	0	0	4	5	0	5
BambuTx427	ENSG00000301622	16	2	3	10	22	37
BambuTx428	ENSG00000259033	0	0	0	125	132	98
BambuTx429	ENSG00000139985	3	2	2	23	32	22
BambuTx430	ENSG00000258813	0	0	1	30	2	30
BambuTx431	BambuGene8000	11	15	23	36	36	29
BambuTx432	BambuGene8000	13	12	22	24	31	27
BambuTx433	BambuGene8014	0	0	1	8	10	12
BambuTx434	ENSG00000284959	4	8	11	10	14	9
BambuTx435	ENSG00000273783	0	0	0	11	16	8
BambuTx436	ENSG00000258859	0	0	0	3	5	5
BambuTx437	ENSG00000302141	0	0	0	9	2	9
BambuTx438	ENSG00000308283	9	10	14	4	4	3
BambuTx439	ENSG00000187581	22	19	35	34	48	32
BambuTx440	ENSG00000309132	0	6	11	2	1	0
BambuTx441	ENSG00000258383	0	0	0	14	10	0
BambuTx442	BambuGene7624	4	0	1	39	26	31
BambuTx443	ENSG00000080824	1	2	4	23	25	21
BambuTx444	ENSG00000140153	13	21	32	116	95	89
BambuTx445	BambuGene7680	188	50	39	59	90	67
BambuTx446	BambuGene7680	0	0	27	0	19	0
BambuTx447	ENSG00000185567	145	139	250	222	257	253
BambuTx448	ENSG00000213145	14	17	23	31	38	37
BambuTx449	ENSG00000224650	4	5	8	3	5	5
BambuTx450	ENSG00000286110	0	0	0	6	0	0
BambuTx451	BambuGene8214	80	100	101	66	68	60
BambuTx452	ENSG00000104044	0	0	0	4	0	1
BambuTx453	ENSG00000169918	0	0	0	2	5	11
BambuTx454	BambuGene8271	17	1	0	0	10	10
BambuTx455	BambuGene8271	0	16	19	19	22	20
BambuTx456	ENSG00000137843	7	13	2	19	19	13
BambuTx457	ENSG00000128891	24	40	30	46	64	44
BambuTx458	ENSG00000159433	0	4	2	5	13	8
BambuTx459	ENSG00000246283	0	7	9	5	1	4
BambuTx460	ENSG00000221792	58	71	104	93	110	109
BambuTx461	ENSG00000242028	34	31	47	49	57	57
BambuTx462	BambuGene8716	5	7	1	11	8	5
BambuTx463	ENSG00000166262	2	4	3	20	15	22
BambuTx464	ENSG00000138600	2	17	8	75	58	117
BambuTx465	ENSG00000180304	0	0	0	0	0	4
BambuTx467	ENSG00000295919	0	4	2	2	5	2
BambuTx468	ENSG00000138617	0	0	0	141	105	105
BambuTx469	ENSG00000075131	10	10	8	61	60	57
BambuTx470	ENSG00000261351	5	4	13	10	18	4
BambuTx471	ENSG00000138604	21	55	67	36	38	40
BambuTx472	ENSG00000137819	3	7	0	6	1	6
BambuTx473	BambuGene8495	0	0	0	5	2	2
BambuTx474	ENSG00000178718	6	4	10	6	5	5
BambuTx475	ENSG00000117971	0	2	3	61	58	56
BambuTx476	ENSG00000259332	1	4	0	4	0	1
BambuTx477	ENSG00000136371	215	343	400	416	373	419
BambuTx478	ENSG00000304288	1	0	0	4	4	1
BambuTx479	BambuGene8902	0	1	0	3	2	10
BambuTx480	BambuGene8954	0	2	5	3	5	4
BambuTx481	ENSG00000185442	0	0	0	20	18	11
BambuTx482	ENSG00000257060	0	0	5	22	28	16
BambuTx483	ENSG00000168904	24	33	40	27	24	27
BambuTx484	ENSG00000189419	1	3	2	34	38	22
BambuTx485	ENSG00000278987	0	4	5	2	6	1
BambuTx486	ENSG00000278987	2	8	4	1	2	3
BambuTx487	ENSG00000295233	1	1	0	16	16	17
BambuTx488	ENSG00000183971	27	32	30	92	95	96
BambuTx489	ENSG00000259933	5	1	6	31	27	37
BambuTx490	ENSG00000259933	2	5	5	12	21	12
BambuTx491	BambuGene9054	0	0	0	4	1	0
BambuTx492	BambuGene9063	1	2	2	21	5	0
BambuTx493	ENSG00000306338	4	1	4	8	17	7
BambuTx494	ENSG00000285329	16	32	46	19	19	20
BambuTx495	BambuGene9812	24	11	15	34	32	18
BambuTx496	ENSG00000302150	0	3	7	44	50	60
BambuTx497	ENSG00000166780	0	1	0	21	30	40
BambuTx498	ENSG00000260342	130	22	38	40	53	65
BambuTx499	ENSG00000174628	3	27	29	48	40	63
BambuTx500	ENSG00000290674	3	3	2	3	2	0
BambuTx501	ENSG00000309043	1	4	1	35	19	18
