TXNAME	R2_HCC827	R3_HCC827	R1_HCC827	R3_H1975	R1_H1975	R2_H1975
ENST00000011691	958.40047	1206.33752	1116.6207	1812.87388	2160.72377	1820.27696
ENST00000011898	21.87126	63.28248	43.22619	93.31275	86.80511	139.89621
ENST00000012049	213.13754	162.83199	209.74862	97.70313	125.25089	101.57268
ENST00000012443	153.77762	164.17411	103.51578	161.50149	119.20982	157.44079
ENST00000013034	0	0	1.29039	2.84929	4.49905	2e-05
ENST00000013070	163.40638	174.69095	185.97448	593.40617	752.37528	584.24316
ENST00000013807	158.98534	175.34978	181.6904	104.35736	106.66377	123.7679
ENST00000014914	2526.61395	2324.33274	2816.25124	1223.14122	1472.09688	1145.97032
ENST00000014930	1195.75475	1285.18455	1582.00639	852.03225	919.87836	956.89769
ENST00000016171	471.09139	499.94311	642.02919	695.12848	740.76736	771.79366
ENST00000016946	36.32124	17.8864	39.82794	35.2901	42.11805	40.52207
ENST00000017003	200.71432	136.57795	133.335	78.23927	119.42169	94.52432
ENST00000019019	11.45269	24.84675	34.52651	39.28302	43.14011	36.2351
ENST00000019317	17.47086	0	267.44458	264.08326	130.26696	0
ENST00000020926	34	44	39	1	0	0
ENST00000020945	60	65	96	454	479.8942	528.64524
ENST00000023939	11.0167	21.13379	37.2757	26.69453	19.85364	26.38353
ENST00000025399	3.0415	0	6.08486	0	6.04872	4.02507
ENST00000026218	36.95382	37.73865	24.20712	8.64105	14.17357	28.64271
ENST00000027335	0	4	0.08333	0	0	0
ENST00000028008	13.00027	7.22958	1e-05	5.25112	1e-05	13.70404
ENST00000031146	0	1.57241	6.11859	14.53193	33.48213	23.44558
ENST00000033079	0	8.49378	14.85163	19.50421	1.12347	31.80604
ENST00000035307	317.95068	229.90901	286.89738	294.86726	468.36135	514.72825
ENST00000037243	3900.10996	5267.12865	6373.07199	7179.47719	8433.04403	6638.91449
ENST00000037869	2814.0565	2800.53593	3532.46282	2168.40328	2598.78482	2372.2723
ENST00000038176	16.04924	70.67553	61.97016	93.20715	42.38399	94.10202
ENST00000039989	1e-05	0	0	33.09879	29.98856	14.25883
ENST00000040584	26.25	10.88889	17.25	8.64865	9	14
ENST00000040663	479.99998	354.98305	290.87445	271.27956	310.13502	312.38233
ENST00000043402	0	0	0	0	11.14286	0
ENST00000044462	1703.70907	978.0796	1986.96764	518.29155	1501.37246	3705.59516
ENST00000046640	188.34306	304.9261	281.10616	297.02781	247.25114	220.08175
ENST00000052569	259.0835	153.26995	230.0038	372.54621	400.73775	429.50364
ENST00000053867	6129.3979	8551.60033	8057.53203	14948.85599	16736.13898	14269.20199
ENST00000054650	6.99794	2.94737	0	6.96619	11.13093	8.1472
ENST00000054666	950.98739	1073.99536	1339	1627.99262	1947.99949	1744.95512
ENST00000054950	1036.93882	1388.07691	1597.33289	3278.13054	3607.06083	3648.05783
ENST00000056217	588.0239	257	316.45371	257.3	380	244.85505
ENST00000056233	142.27598	74.82235	88.01959	187.90891	117.17565	156.2496
ENST00000057513	5.85398	3	6.2128	4.05472	4	1.26047
ENST00000060969	245.79213	370.46697	471.0211	518.61116	659.10167	505.9165
ENST00000064724	3	1	1	34	38	42
ENST00000064778	77.96288	13.26934	0	13.77094	36.03522	21.84004
ENST00000066544	131.38264	86.40263	170.73265	239.5546	303.17522	259.48432
ENST00000072516	13.76359	10.28161	22.44791	38.47254	41.06173	30.80626
ENST00000072644	119.92119	246.51954	185.56344	332.99189	175.25045	168.63793
ENST00000075503	4.50215	16.82058	20.63917	16.27364	19.16487	13.02883
ENST00000078429	721.95949	339.98489	602.97604	647.83104	803.85889	555.76276
ENST00000078445	0	0	0	8.69025	15	8
ENST00000080059	0.00052	276.97712	226.54906	121.7179	0.44948	121.16278
ENST00000081029	1688.57871	2893.9603	3500.78852	2115.09332	2256.02942	2160.14313
ENST00000082468	0	0	0	0	0	1.84523
ENST00000083182	147.92996	118	154	283.94603	278.12361	271.08414
ENST00000084795	15.56686	26.53271	26.81203	68.68318	23.1453	2239.55012
ENST00000084798	155.95733	165.13876	156.72428	145.22315	117.91418	139.57714
ENST00000085068	254.64952	302.93226	306.92119	288.04393	288.78841	313.98414
ENST00000155926	1	0	0.5	69.52381	89.05263	57
ENST00000156109	383.88023	524.95144	599.77193	667.61618	772.8454	909.39476
ENST00000156471	61.02882	35.81133	99.84345	238.32874	74.80322	220.72655
ENST00000156626	64.836	186.1559	169.3315	0	0.2	0
ENST00000157600	74.38008	80.20506	80.57668	337.72916	481.19154	447.48651
ENST00000158526	2.06625	6.09929	11.17785	15.3476	14.32323	12.26171
ENST00000160382	0	0	0	3	0	1
ENST00000161006	217.15442	269.86433	241.14864	708.12799	638.84747	656.52701
ENST00000161559	54.29315	9.35026	5.75343	12.01522	12.28353	7.15556
ENST00000161863	0	46.87166	0	97.40463	55.09141	26.09436
ENST00000162044	1125.61419	1328.18756	1108.63058	851.50725	926.1777	888.09621
ENST00000162330	10.72675	49.23741	64.55959	64.21952	72.39198	74.56701
ENST00000162391	79.6023	44.63426	62.1739	43.71046	62.40903	19.87873
ENST00000162749	1207.81888	1246.82019	1088.74604	1055.92162	1140.8768	1101.47482
ENST00000163416	41.81675	172.68821	195.99239	584.43226	722.11184	591.76546
ENST00000163678	18.28734	24.58245	55.30107	65.47545	63.50168	75.7922
ENST00000164133	10	33.68328	0	0	13.96613	29.85451
ENST00000164227	953.99891	494.99792	817.99872	747.99171	899.97286	604.98795
ENST00000164305	53.09911	118.71131	117.8726	203.13629	244.06294	221.13491
ENST00000166139	51.68006	38.47259	34.0327	367.15643	342.44823	436.79224
ENST00000166345	300.95844	275.95794	309.77773	368.96093	447.98624	422.96548
ENST00000166534	8.00527	18.79253	21.79953	10.0198	9.03852	14.48096
ENST00000167218	2.16297	4.08295	5.05721	3.15254	9.12416	11.60988
ENST00000167462	4.60469	20.50521	3.88971	3.93536	5.80289	2.3616
ENST00000167586	1	0	2	0	0	5
ENST00000167588	179.38563	557.7071	402.64616	1	0	0
ENST00000168216	3123.0893	3508.00404	3264.22853	3374.78173	3950.68246	3718.9126
ENST00000169298	23.73381	54.97194	44.16893	20.19893	24.35459	25.84227
ENST00000169551	221.37053	329.26341	270.26602	701.61631	686.3639	720.20663
ENST00000170447	70.83105	86.09523	103.82043	142.90683	181.30822	190.64553
ENST00000170564	102.05995	101.4353	103.85553	93.81741	121.12566	113
ENST00000171111	18.13637	45.09001	84.86785	183.24487	134.48396	309.64404
ENST00000172229	2	0	3	4	6	3
ENST00000173527	277.24793	296.56385	416.43387	261.5093	313.97849	376.84381
ENST00000173785	0	1.00273	0	0	1.0058	0
ENST00000174618	539.72414	302.54545	446.75914	415.52771	395.29418	406.08921
ENST00000175091	3234.45341	5595.33371	6174.67103	8273.62404	8697.09866	8626.97479
ENST00000175506	16.35227	53.49025	76.41492	69.12737	95.81482	91.01304
ENST00000175756	216.90324	223.3153	98.38931	54.85448	249.43536	34.42119
ENST00000176643	331.06658	360.4831	414.91915	713.19254	813.23032	689.32322
ENST00000176763	313.78391	280.31319	342.10674	642.78405	604.11786	599.26436
ENST00000177648	5.70271	15.16768	12.12028	22.35783	45.03181	28.13925
ENST00000177742	302.37873	318.84099	299.96363	283.09536	262.75649	370.69564
ENST00000178638	2.25	5	0.75	234.89314	249.24619	192.57282
ENST00000178640	81.27989	53.67194	56.76855	51.62887	68.77732	90.3634
ENST00000179259	258	328.19811	372.62213	631.14467	588.85047	658.85225
ENST00000182290	2	2	3.33333	0	0	0
ENST00000182527	115	50	76	207	206.92659	175
ENST00000184266	13385.94489	18807.60957	28697.26872	15553.73627	18704.51566	15578.84692
ENST00000184956	20.19297	24.11988	24.76337	52.85143	66.3058	30.0429
ENST00000187762	83.63688	194.98653	179.37433	298	241.35259	293
ENST00000187830	1e-05	0	2e-05	2.26199	3e-05	2.2469
ENST00000187910	0	0	0	0	0	1
ENST00000188312	140.63944	300.28877	259.72064	479.45895	405.78573	373.63033
ENST00000188376	0.00042	19.0905	0	0.00025	0	2.83875
ENST00000188790	0.16667	0	0	0.16667	4.48745	6
ENST00000190611	6	1.55717	2	58.05349	32.20893	43.91005
ENST00000191018	71.60495	171.09574	142.21895	390.26745	416.07548	434.40839
ENST00000191063	0	2	4	1.0102	2.03823	5.05548
ENST00000192788	150	97	150	120	135	112
ENST00000193403	707.69331	1210.36137	1153.05726	3127.65601	3908.32356	3761.90103
ENST00000194118	39.72971	119.20941	70.27195	48.10827	26.06262	53.99033
ENST00000194152	1	1	1	6.4	3	0
ENST00000194155	83	79	70	67.98529	69.97101	86
ENST00000194214	916.69667	1078.51024	1150.6112	856.90762	1067.1035	910.6989
ENST00000194530	112.84825	134.82569	250.00338	328.6414	22.02338	209.56605
ENST00000196371	75.34261	132.28522	95.35772	615.59289	865.99505	586.44404
ENST00000196482	119.76137	102.64051	119.74768	175.24636	165.81401	197
ENST00000196489	99	77	100	163	154.44944	195.06667
ENST00000197268	70	34.3912	113	99.45167	90.61674	85.88966
ENST00000198767	75.46871	84.72932	104.8474	235.98554	214.72261	266.29503
ENST00000199320	347.42377	570.17178	774.6889	751.44473	740.5539	927.66315
ENST00000199389	2032.86738	1141.28469	1728.59487	1513.99005	1922.37544	1569.79215
ENST00000199448	7	7	4	544.89308	647.94329	491.70473
ENST00000199706	2646.94288	3441.45836	3083.53295	2184.67682	2422.96065	2658.52958
ENST00000199708	7	13	2	0	0	0
ENST00000199764	1202.40001	1879.64856	1828.27674	12	18	19
ENST00000199814	728.23766	692.38854	786.09194	858.5167	924.58183	900.37137
ENST00000199936	12.74179	15	18.71895	0	1	0
ENST00000200135	103.80833	157.11591	161.6591	152.24746	166.92503	113.61383
ENST00000200453	653.20623	0.28419	644.90632	769.43785	690.36961	406.5283
ENST00000200457	2180.34834	616.4791	46.69883	278.89928	2035.72836	0.00012
ENST00000200639	188.60361	96.53885	89.97568	617.30709	246.91949	460.17462
ENST00000200652	1.31953	66.01448	5.79292	33.42029	299.8556	53.65778
ENST00000200691	0	0	0	0	1	0
ENST00000201031	116.85	97	130	192.19512	194.73684	135.69231
ENST00000201586	354.1741	441	390	552	557	520
ENST00000201647	42.67967	84.37082	34.05229	23.48252	13.84242	38.20144
ENST00000201961	0	0	0	4	2	1
ENST00000202017	669.40836	431.02055	751.36269	428.15564	1156.15006	944.80689
ENST00000202773	33983.41381	53926.98606	58139.52506	52680.40324	63814.94798	54834.27029
ENST00000202831	1e-05	19.34243	0	13.37828	0	0
ENST00000202834	1017.16757	2154.48138	2478.56142	5158.75344	5724.19412	5518.45722
ENST00000202917	53.4148	130.97708	121.26101	287.62829	244.47106	265.00303
ENST00000202967	42.93613	46.28561	55.72552	46.4856	41.03678	27.29332
ENST00000203001	255.19497	646.09404	674.13884	1148.81423	1159.23482	1011.77371
ENST00000203166	116.23091	231.53712	219.9452	291.84461	293.74881	220.94571
ENST00000203407	9601.52216	10627.29944	9288.94665	9281.6823	9865.96183	9712.66779
ENST00000203556	206.70662	211.4663	164.71887	103.28782	264.99999	184
ENST00000203630	2537.88125	3658.29267	2781.37208	2526.17202	2511.78076	2792.4005
ENST00000203664	453	486	523	245.84348	242.92203	278
ENST00000204517	241.82911	112.16175	153.87362	137.14098	138.81852	149.40854
ENST00000204549	314	192	330	309	408.9801	218
ENST00000204566	421.51031	810.44499	724.18194	669.22492	782.37858	952.86873
ENST00000204637	1.95984	3.9097	5.57771	1.6427	1.66899	8.9806
ENST00000204679	546.74531	832.58197	895.89636	1589.62584	1768.80096	1825.35601
ENST00000204961	70.39286	49	86	64	79	71
ENST00000205061	455.49984	390.37683	514.41671	684.22435	801.94741	714.99024
ENST00000205194	109.4514	126.43026	100.14674	142.02195	133.55531	218.03496
ENST00000205214	0	7.12105	23.48019	22.52607	1e-05	57.67077
ENST00000205402	432.70327	630.82882	672.08417	2265.08961	2485.70806	2362.66161
ENST00000205636	371.90995	391	451.91847	1796.09999	1933.05156	1905.52564
ENST00000206020	0.00011	389.95687	0.00013	4e-05	4e-05	221.86306
ENST00000206262	187.1145	305.01201	346.27068	219.28394	339.07568	275.6376
ENST00000206423	54.28117	113.45295	155.05867	306.75827	542.08585	476.57678
ENST00000206451	11172.28809	15256.31787	15935.47796	683.33039	10997.56321	7673.62845
ENST00000206474	731.11776	432.50435	1004.25778	283.57881	675.64803	612.02367
ENST00000206542	867.58836	972.38213	1067.63448	822.06091	909.02551	869.06982
ENST00000206595	189.284	216.62547	226.03428	340.80732	332.53876	341.69554
ENST00000206765	1.94449	0	0	0	0	0
ENST00000207549	1328.40988	740.94591	705.79714	319.07315	372.36085	317.50087
ENST00000207870	49.84359	55.3489	65	61.28254	91.18325	76.12666
ENST00000209875	1870.38392	1343.0391	2440.3487	2149.63404	2671.20964	2187.07333
ENST00000209884	19.5	19.13043	32.9964	115.06515	108.78806	114.84551
ENST00000210060	1707.99156	2308.89232	2072.84	2138.1236	2292.31755	2349.1968
ENST00000210187	100.9625	109.2257	73.43389	26.90492	24.49806	21.26826
ENST00000210227	0	0	1.15702	5.12742	2.91158	5.79482
ENST00000210313	190.42564	225.35116	301.53545	362.64781	386.8817	309.43621
ENST00000210444	2e-05	1.16713	4.18947	0	2495.21371	1.17424
ENST00000211287	384.61035	485.18314	450.41985	447.09984	464.94684	476.46936
ENST00000211314	483.06889	787.05792	941.13355	1567.8346	1865.73236	1745.72787
ENST00000211936	3.04759	6.92264	0	11.59759	21.56349	13.81838
ENST00000212015	11.63263	3.89588	3.99149	5.22127	8.05626	14.5932
ENST00000214869	954.96518	1690.96887	1570.99112	1350.95163	1478.90763	1410.16753
ENST00000215057	1.45723	0	3.18068	0	0.77827	3.33581
ENST00000215061	416.17591	360.86076	348.6352	93.22954	79.78276	90.40095
ENST00000215071	7840.87256	8716.17165	13.08554	15.19013	6.64342	2.27523
ENST00000215368	260	237	388	176	197	189
ENST00000215375	1400.40034	1494.31266	1119.25207	745.73694	1110.78693	970.97812
ENST00000215531	2	0	4.49411	109	125	77
ENST00000215555	33.1831	31.25956	41.98756	70.04373	89.01058	119.56213
ENST00000215565	12463.70136	11871.95532	12512.96908	8218.95256	8613.93012	8518.93872
ENST00000215570	7293.10729	8062.61381	9847.04017	8361.89745	8964.35414	8447.1784
ENST00000215574	630.08279	286.26547	362.15824	202.37724	231.85642	195.06989
ENST00000215582	101.83172	186.65908	73.57875	64.28545	88.25565	109.91477
ENST00000215587	18.08407	22.81369	32.79083	7.89703	6.82595	18.80845
ENST00000215631	208.59329	206.87173	324.44306	872.80977	773.69991	871.49362
ENST00000215659	176.63677	157.28968	118.2371	91.27439	72.99595	52.89818
ENST00000215730	440.99999	379.95552	517.01873	835.91757	865.80988	929.1386
ENST00000215742	212.32366	347.40842	293.94803	253.50743	231.64269	228.40837
ENST00000215743	24.09356	20.65884	42.71524	101.02192	106.92958	98.52108
ENST00000215754	114049.02613	124757.96525	138510.46715	115491.05074	135268.7788	112014.12477
ENST00000215770	35	41	68	61	92	90
ENST00000215793	2023	1545.25273	1708.10402	1733.57598	2475.12503	1473.628
ENST00000215829	2877.31072	3034.41637	3819.67435	6173.45753	7573.00528	6205.81056
ENST00000215832	462.91465	308.7593	429.97225	657.51784	881.29368	604.77243
ENST00000215838	461.96267	712.49753	540.07631	42.77602	38.10091	29.59827
ENST00000215882	772.26147	1054.78612	790.56519	490.56664	513.12147	0
ENST00000215886	152	184	171.98844	0	0	1
ENST00000215904	129.33332	82	72	77	75	64
ENST00000215906	0	0	0	1.51366	0	0
ENST00000215909	32198.03983	29367.20271	33857.74179	115018.106	135335.35895	113943.0737
ENST00000215912	27.42663	57.19306	43.01942	306.01122	247.15289	188.3966
ENST00000215917	280.98584	258.9752	275.90349	471.93161	511.79817	608.78546
ENST00000215919	121.28836	75.30468	58.75762	242.98086	225.48439	172.66745
ENST00000215941	84.56483	87.06823	81.7951	115.5547	121.12147	137.99681
ENST00000215956	7.4317	40.12029	32.56345	5115.42824	5424.41877	4835.4048
ENST00000215957	321.90273	143.27604	169.28916	309.2175	350.81667	296.50214
ENST00000215980	1106.41569	1083.19774	1313.4001	908.7321	1268.58331	1111.22136
ENST00000216014	79.55357	109.34543	133.64198	599.84451	559.29927	696.15817
ENST00000216024	0	0	0	5.51157	2.03675	3.22982
ENST00000216027	219.34078	321.34682	490.10654	1059.7428	992.95485	1009.60647
ENST00000216029	708.96311	811.33064	860.03791	855.78502	878.47421	840.7536
ENST00000216034	2457.80283	2520.59411	3570.38929	4024.32924	4524.6758	4191.40589
ENST00000216036	0	12	5	9	9	6
ENST00000216037	885.49566	990.96324	944.93193	1841.90116	1634.09254	2106.73434
ENST00000216039	169.58417	92.33819	180.81829	187.22408	197.427	185.034
ENST00000216044	165	119	146	149	156.7401	124
ENST00000216068	382.34581	730.79697	779.08618	807.31631	863.47482	929.301
ENST00000216080	322.70231	35.98735	80.64027	41.23828	4.44054	23.26863
ENST00000216083	0	1.0662	1.07033	1.07473	1.2215	4.25508
ENST00000216085	42.47955	1e-05	69.503	194.14481	223.95748	201.05567
ENST00000216099	21	8.66667	27.17647	68.75719	74.18159	59.85204
ENST00000216106	6.75461	71.45821	38.73803	164.38927	65.61989	172.894
ENST00000216117	198.80299	231.11561	236.75536	1966.42981	2938.61648	2541.40024
ENST00000216122	238.33838	602.34198	452.71964	340.8573	511.32766	481.11569
ENST00000216124	307.77432	162.60944	152.76865	129.65128	118.54387	105.62696
ENST00000216127	6.61686	0	0	3.17197	1.69932	0
ENST00000216129	285.04532	790.25041	517.62652	300.33985	424.68118	509.00595
ENST00000216146	62290.56682	90899.43906	118232.34802	71835.13278	76819.87354	75638.81556
ENST00000216160	231.18645	208.98261	157.80358	135.61283	171.27215	161.44054
ENST00000216180	9.31287	10.71424	10.91416	25	10.40245	21
ENST00000216181	1.49021	137.95737	0.10698	230.33774	356.17346	204.3732
ENST00000216185	3050.98011	3580.21685	3706.79064	2653.96286	2975.48946	2777.03799
ENST00000216190	5006.88259	5589.25156	5395.38155	4314.14258	5011.60741	4775.15761
ENST00000216211	18	17	3	1	2	6
ENST00000216218	68.72581	281.95589	462.60176	202.95344	236.7357	224.35614
ENST00000216225	4821.57303	4734.47282	5856.35765	6153.9698	7276.74615	6111.45639
ENST00000216252	733.62537	1038.68168	1121.13961	1309.22877	1299.38355	1220.22813
ENST00000216254	38.31451	305.29329	598.33481	237.0329	299.6778	408.14587
ENST00000216259	1931.90763	2195.96351	2311.73079	2202.08471	1766.28445	1819.94614
ENST00000216264	109	75	56.8807	87	107	87
ENST00000216271	62.01643	71.32	74.30093	33.66337	9.99309	21.33313
ENST00000216274	9	23.50878	9	5	7	5
ENST00000216281	2156.50658	3323.91818	2019.07435	18787.32949	16997.79831	16157.4284
ENST00000216288	0	37.48625	62.46875	184.14313	195.76259	178.4269
ENST00000216294	124.28825	115.8812	149.29602	600.77303	599.35639	721.63162
ENST00000216297	2231.75758	1843.48049	2862.21181	3460.18824	3499.76116	3228.32842
ENST00000216350	27.80878	6e-05	3.83892	2e-05	1e-05	2e-05
ENST00000216410	652.80913	627.783	910.72386	907.12139	915.76899	957.39431
ENST00000216416	2690.121	3718.64006	4707.73723	4518.6654	4798.15578	4731.94794
ENST00000216420	136.57595	211.29236	306.9755	324.11195	318.31879	321.7933
ENST00000216442	1137.6324	1422.50816	1536.57329	3898.06421	4510.95918	3902.75613
ENST00000216446	598.12337	630.6055	557.24123	1180.11355	1251.15939	1598.13995
ENST00000216452	164.82701	150.11916	264.39835	714.31223	480.37674	463.25739
ENST00000216455	2576.0156	3933.53129	3606.98556	10718.22906	12164.06828	10560.20842
ENST00000216456	40.31274	70.41696	77.47259	268.73305	269.36344	326.12171
ENST00000216463	50.56146	71.80756	123.29641	154.43865	172.99491	136.22912
ENST00000216465	1371.07982	1191.51379	1237.63365	1258.94947	1375.37036	1278.80453
ENST00000216468	129	89	142	226.63636	289.99999	285.59241
ENST00000216471	12	10	22	84	94	61
ENST00000216479	1572.48128	2243.25187	2519.40484	5151.3344	5476.87613	5525.67115
ENST00000216484	309.00744	330.61769	383.19847	791.10198	1042.10708	797.3429
ENST00000216487	238.91467	118.99887	141.72777	57.398	76.5571	54.99478
ENST00000216489	179.93906	218.08677	212.60928	241.33974	268.93041	252.40895
ENST00000216513	87.81818	58	78	138.76381	166.70909	183.37286
ENST00000216517	0	0	0	2.24838	0	0
ENST00000216520	6.37555	13.43387	21.73483	71.59696	65.20305	57.63951
ENST00000216554	3081.19831	3858.44822	5434.34156	12092.73455	9882.40071	11493.07191
ENST00000216602	43.91212	21.98417	58.4148	5e-05	14.00571	77.0287
ENST00000216629	0	1	0	5.25	2.38091	1
ENST00000216714	4527.44753	6319.86741	6494.25621	4365.41954	4419.81092	4333.8696
ENST00000216727	1463.47431	861.97888	1276.07114	1170.23692	1477.05717	1188.47451
ENST00000216743	0	0	0	0	0	3.48299
ENST00000216756	2296.55927	2591.7794	3233.26766	2723.39393	3315.4288	2960.58078
ENST00000216780	884.8889	1239.32248	1162.04553	1011.35648	1013.25716	1022.82988
ENST00000216797	2857.13208	2335.24985	2719.01752	1360.57815	1389.1137	1535.80767
ENST00000216799	1176.54384	1107.26406	1131.20765	124.24558	118.22124	116.49677
ENST00000216807	194.74201	183.01619	240.10012	136.67079	203.15344	174.359
ENST00000216832	345.27241	398.94298	533.54816	945.58323	1109.95817	705.14921
ENST00000216840	534.69284	667.90722	652.16957	370.38101	372.95145	350.08202
ENST00000216862	72.12054	117.37381	114.15539	180.40057	193.6842	185.65638
ENST00000216879	1791.0932	2256.33477	2120.3833	2331.41958	2339.137	2591.62947
ENST00000216923	81.83272	79.79743	150.39411	197.19462	233.14403	171.42926
ENST00000216968	324.10596	609.46233	716.47493	2057.17038	2348.94793	2222.77575
ENST00000217026	221.70203	333.9749	456.74413	201.85833	257.41311	195.17824
ENST00000217073	0	1.86129	3.01343	0	0	1.31992
ENST00000217075	2.10048	3.14683	6.36114	1.03712	6.26813	4.25568
ENST00000217109	552.89359	489.39162	677.78255	631.06098	688.51279	686.18846
ENST00000217121	0	0	0	1.57562	1.50585	0
ENST00000217131	74.28594	64.83272	77.45316	125.13351	132.50839	187.49201
ENST00000217159	34.72166	139.72794	43.53803	21.11039	13.89166	16.34398
ENST00000217169	0	1	0	2	1	1
ENST00000217173	162.53915	156.89373	136.1237	114.53661	143.2527	138.28427
ENST00000217182	446.50456	420.41191	360.96062	80.1609	134.51702	76.92459
ENST00000217185	4.06759	4.93933	9.13712	9.33829	7.94555	9.14159
ENST00000217195	32.36608	63.3507	67.91156	37.7563	34.29671	27.2063
ENST00000217233	2795.8804	4462.57692	2893.30357	4841.22292	2119.44571	4959.56499
ENST00000217244	119.48496	96.85481	137.8145	943.40029	918.47677	1003.73007
ENST00000217315	0	15.6801	20.27268	21.32813	8.38699	34.72707
ENST00000217320	14.5776	17.40428	25.06721	0	0	0
ENST00000217398	0	1.05769	2.1743	2.16607	1.05787	0
ENST00000217402	1483	1120	1279	603	639	634.96248
ENST00000217407	0	0	1	3	1	5
ENST00000217423	0	1	0	0	0	0
ENST00000217426	6514	5456	5397	3296	4096	3529.43376
ENST00000217446	496.40267	627.17805	543.36675	426.70139	460.68542	462.48231
ENST00000217455	1485.75378	1998.5767	1900.26372	1269.06811	1363.61768	1231.5339
ENST00000217456	1344.23114	1414.81316	1730.00291	2906.74488	3108.2026	2876.29587
ENST00000217515	1271.11081	2005.88972	2548.9727	2248.8073	2367.30784	2365.89306
ENST00000217652	8045.95202	12135.0828	14815.43641	21722.29984	23671.32121	21860.82878
ENST00000217740	18	15	15	81.25	76.39024	73.17105
ENST00000217890	121.60327	89.74844	83.83721	42.38846	41.89561	57.37767
ENST00000217893	1495.09224	2873.31057	2923.27942	3797.23759	3710.18421	3742.64649
ENST00000217901	1.83762	0	4e-05	1e-05	2e-05	0
ENST00000217909	108.16667	115.12195	164.63516	139.38129	142.98221	145
ENST00000217958	772.30023	1407.70668	1424.11105	1542.71686	1634.82456	1636.48491
ENST00000217971	1038.75498	1337.48168	1425.77722	1130.18855	1175.18798	1237.2579
ENST00000218056	51.10465	116.3827	58.21921	343.45433	402.93831	380.3292
ENST00000218104	18.12278	32.86688	6.26687	48.55049	72.98735	52.56389
ENST00000218224	159.50938	111.36197	3.83671	62.5783	92.24808	73.62837
ENST00000218340	48	47	62	147.47576	200.55818	117.14286
ENST00000218348	7.12398	314.55694	29.78529	15.76268	21.19281	254.91189
ENST00000218364	444.0946	296.91014	269.57759	417.95127	500.84067	475.28366
ENST00000218388	12262.8912	13282.88712	13807.8012	19049.97967	19783.76156	17033.1011
ENST00000218432	22.08319	6.00837	20.05255	2.02034	13.01201	13.00956
ENST00000218439	0	6.86568	5.45558	4.24077	2.54919	0
ENST00000218516	602.98785	776.36544	826.52625	559.85232	645.08447	604.76436
